Type,Area,,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
400 TRANSPORTATION,National Infrastructure Investments,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,10,207,205,405,454,502
400 TRANSPORTATION,"Grants-in-aid for Airports, Recovery Act",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,179,726,164,..........,..........,..........,..........,..........
400 TRANSPORTATION,Grants for airports (Airport and airway trust fund),TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,61,105,232,243,292,269,26,335,562,556,590,469,339,453,694,789,853,917,825,"1,135","1,220","1,541","1,672","1,931","1,620","1,859","1,655","1,489","1,511","1,565","1,624","2,017","2,860","2,681","2,958","3,530","3,841","3,874","3,808","3,759","3,156","3,095","3,012","3,519","3,100","3,591","3,426"
400 TRANSPORTATION,Grants for airports (federal funds),,..........,..........,..........,..........,..........,..........,..........,..........,6,30,33,30,33,27,18,8,17,21,43,57,57,65,58,52,65,71,54,64,75,104,83,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Federal-aid highways (trust fund),TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,953,"1,493","2,589","2,913","2,591","2,752","2,984","3,607","3,980","3,959","3,966","4,117","4,085","4,300","4,561","4,562","4,604","4,361","4,573","6,132","1,605","5,799","5,807","6,825","8,675","8,641","7,590","8,529","10,072","12,434","13,785","12,414","13,665","13,196","13,854","14,124","14,884","15,895","18,139","18,945","19,366","20,304","19,791","22,590","24,711","27,075","29,833","29,960","29,791","30,915","32,703","33,222","35,429","36,049","30,385","35,754","39,634","41,388","41,626","42,160","44,591"
400 TRANSPORTATION,Other Federal fund aid for highways,,165,172,152,88,48,33,44,183,327,403,432,396,415,501,522,586,729,2,25,25,29,32,31,39,37,38,43,63,80,77,95,104,121,101,76,46,57,12,101,146,266,230,155,106,232,307,254,153,73,64,72,63,48,117,236,233,198,237,181,248,167,253,144,93,182,230,322,"1,132","1,071","1,243","3,304","12,721","8,643","4,348","2,143","1,444","1,212",669
400 TRANSPORTATION,Other Trust fund aid for highways,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,4,7,9,8,1,3,11,24,49,93,84,43,17,12,12,12,12,23,17,37,38,46,74,85,102,85,56,46,40,42,80,304,347,301,228,145,158,142,60,41,25,11,16,9,24,165
400 TRANSPORTATION,National Motor Carrier Safety Program,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,9,14,26,47,54,65,62,63,62,59,66,73,78,73,87,99,110,152,155,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Motor Carrier Safety,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Motor Carrier Safety Grants,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,74,210,256,256,274,253,274,302,279,312,361
400 TRANSPORTATION,Border Enforcement Program,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,3,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Highway safety grants,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,7,32,66,74,81,26,116,133,189,210,226,164,119,129,132,147,124,127,153,152,145,140,142,151,164,151,151,149,181,182,196,218,199,194,205,263,402,467,502,547,558,490,495,608,656,651
400 TRANSPORTATION,Operating Subsidy Grants to the National Railroad Passenger Corp,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,340,250,..........
400 TRANSPORTATION,Emergency Railroad Rehabilitation and Repair,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,14,6,3,4,..........,..........,..........,..........,..........,..........,..........,..........,8,3,4,2,1,2,..........
400 TRANSPORTATION,Capital and Debt Service Grants to the National Railroad Passeng,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,889,"1,126",195
400 TRANSPORTATION,Alameda corridor direct loan financing program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,21,21,18,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Rail service assistance,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,2,5,22,35,53,54,51,55,47,34,35,22,22,22,15,14,*,1,5,4,3,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Railroad Safety Grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,4
400 TRANSPORTATION,Grants to the National Railroad Passenger Corporation,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,134,78,49
400 TRANSPORTATION,Local rail freight assistance,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,2,6,7,23,16,13,7,4,3,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Intercity Passenger Rail Grant Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,10,10,8,4,29,17,14
400 TRANSPORTATION,Rail Line Relocation and Improvement Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,12,11,20,12,12
400 TRANSPORTATION,Capital Assistance for High Speed Rail Corridors and Intercity P,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,16,302,508,763,"1,085","1,807","2,687"
400 TRANSPORTATION,Alaska Railroad Rehabilitation,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,9,8,9,11,11,28,41,20,20,35,20,5,1,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Railroad Research and Development,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,..........,1,1,1,1,2,1,2,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Conrail commuter transition assistance,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,25,135,..........,..........,..........,..........,1,2,2,5,8,7,1,1,2,2,5,5,3,2,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Rail Service Improvement Program,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,436
400 TRANSPORTATION,Current Passenger Rail Service,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,374"
400 TRANSPORTATION,Northeast corridor improvement program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Urban mass transportation grants,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,233,507,633,668,696,849,879,"1,054","1,268","1,298","1,652","2,025","2,224","2,002","1,875","1,524","1,200",722,495,293,161,119,"1,955","4,206","5,990","7,280","7,363","7,207","8,210","8,097","9,136","9,353","11,505"
400 TRANSPORTATION,Urban mass transportation grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,2,5,11,16,42,66,136,104,156,179,291,348,689,"1,262",279,"1,616","1,972","2,408","3,129","3,771","3,782","3,655","3,483","2,797","2,666","2,586","2,531","2,649","2,849","2,762","2,309","2,587","1,615","2,328","2,067","2,497","2,346","2,664","4,062","6,241","6,967","7,155","7,616","7,995","6,529","4,778","3,857","3,902","5,576","4,576","3,888","3,409","2,999","3,269","1,535"
400 TRANSPORTATION,Research and special programs (pipeline safety and other),,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,..........,1,1,1,1,2,1,2,3,3,2,3,3,4,4,4,3,4,4,5,6,7,5,10,11,12,13,15,13,14,19,19,15,19,19,19,23,35,30,32,25,33,43,49,50
400 TRANSPORTATION,Emergency Preparedness Grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,5,5,6,6,6,6,8,10,12,12,12,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,Trust Fund Share of Pipeline Safety,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,5,5,5,5,5
400 TRANSPORTATION,Merchant Marine Schools,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,1,*,1,1,*,*,*,*,*,*,*,*,*,..........,..........,..........,..........,*,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
400 TRANSPORTATION,"Subtotal, Transportation",,165,172,152,88,48,34,45,183,334,434,465,426,448,528,540,594,746,976,"1,562","2,671","2,999","2,688","2,841","3,077","3,716","4,100","4,072","4,135","4,338","4,402","4,583","4,884","4,979","5,269","5,105","5,683","7,805","1,954","8,002","8,682","10,349","12,986","13,401","12,105","13,192","14,969","16,972","18,287","16,845","18,003","18,146","19,140","19,787","20,519","22,253","23,593","25,724","25,900","26,815","26,112","28,883","32,213","36,646","40,998","41,029","41,298","43,368","46,681","47,945","51,216","55,328","60,853","60,865","60,636","60,392","62,152","64,378","68,231"
400 TRANSPORTATION,"Total, 400",,165,172,152,88,48,34,45,183,334,434,465,426,448,528,540,594,746,976,"1,562","2,671","2,999","2,688","2,841","3,077","3,716","4,100","4,072","4,135","4,340","4,408","4,599","4,919","5,065","5,349","5,279","5,864","7,980","2,007","8,299","8,837","10,931","13,022","13,404","12,110","13,200","14,988","17,009","18,318","16,873","18,043","18,176","19,174","19,826","20,556","22,292","23,633","25,787","25,957","26,846","26,144","28,904","32,222","36,647","40,998","41,029","41,471","43,370","46,683","47,945","51,216","55,438","60,981","60,986","60,749","60,518","62,260","64,499","68,339"
450 COMMUNITY AND REGIONAL DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 COMMUNITY AND REGIONAL DEVELOPMENT,Agriculture:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Community Advancement Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,11,29,28,25,26,35,42,34,35,75,24,113,180,287,325,269,210,157,135,176,178,157,137,128,139,141,167,219,297,333,600,627,569,529,479,803,740,800,797,814,773,760,5,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,"Distance Learning, Telemedicine, and Broadband Program",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,6,10,3,8,9,7,10,19,22,41,14,14,13,44,122,59,299,587,595,321,372,45
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Water and Waste Disposal Program Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,585,585,563,755,836,869,647,722,617
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Development Insurance Fund Program Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,55,85,103,150,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Community Facilities Program Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,96,207,128,129,84,65,42,43,45
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Community Fire Protection Grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,4,1,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Cooperative Development Grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,2,2,3,4,3,18,29,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Business Program Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,105,116,233,230,210,80,81,97,90
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural development planning grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,4,7,3,10,10,15,17,14,8,4,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Rural Development Loan Fund Liquidating Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,3,2,2,1,−*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Southeast Alaska economic disaster fund,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,23,47,20,20,10,7,7,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,"Subtotal, Agriculture",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,11,29,28,25,26,35,42,34,41,86,28,126,193,306,346,287,221,163,139,180,182,160,142,134,144,146,227,307,404,492,638,681,602,563,500,823,784,851,838,828,787,773,835,"1,030",983,"1,413","1,717","1,609","1,091","1,234",797
450 COMMUNITY AND REGIONAL DEVELOPMENT,Commerce:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450 COMMUNITY AND REGIONAL DEVELOPMENT,Economic Development Assistance Programs,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,3,11,8,7,20,114,145,156,176,167,194,202,209,202,59,165,260,345,452,408,323,248,248,263,253,205,211,184,160,153,141,130,204,322,394,400,364,355,356,356,355,375,337,332,284,243,238,243,317,423,393,403,320,416,287
450 COMMUNITY AND REGIONAL DEVELOPMENT,Local public works and drought assistance programs,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,15,257,288,85,19,5,2,1,*,*,*,..........,..........,..........,..........,579,"3,108","1,750",416,83,39,17,10,2,2,1,*,−*,*,−*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
450 COMMUNITY AND REGIONAL DEVELOPMENT,Regional development programs,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,16,22,21,19,21,2,17,18,19,60,31,10,5,-1,10,*,*,*,*,*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
