Fund,Area,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Hospital insurance trust fund,"Employer share, employee retirement (951) 3",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,16,60,65,79,91,87,85,121,147,166,175,45,175,206,228,249,332,397,"1,054","1,306","1,449","1,604","1,700","1,884","2,007","2,153","2,205","2,324","2,375","2,440","2,449","2,382","2,465","2,499","2,576","2,630","2,704","2,913","3,049","3,423","3,302","3,404","3,538","3,710","3,935","4,042","4,025","4,093","4,178","4,052","4,074","4,152","4,257","4,385","4,570","4,736"
Hospital insurance trust fund,Interest (902),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,6,46,61,96,139,183,190,198,408,614,716,12,771,797,883,"1,061","1,325","1,873","1,656","1,686","2,016","2,809","3,994","5,169","6,603","7,943","8,992","10,054","10,581","10,593","10,871","10,389","9,757","9,154","9,286","10,470","12,338","13,774","14,791","15,074","15,155","15,388","16,141","15,910","15,901","14,604","12,902","11,297","9,917","8,960","8,832","8,986","8,888","9,055","9,508","9,830"
Hospital insurance trust fund,Interest from OASI,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,028","1,337","1,207",383,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,Federal Payment (OASI taxes),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,639","3,913","4,069","3,558","5,067","6,552","8,787","4,903","10,946","8,318","8,577","8,765","10,319","10,593","11,733","12,376","13,760","15,143","18,643","14,310","18,066","20,225","23,480","25,908","28,429","31,103","34,080"
Hospital insurance trust fund,Other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,338,284,771,628,874,551,429,499,529,658,..........,944,860,907,871,834,"1,015","4,541","1,106","1,348",254,999,"1,045","1,070",798,631,706,495,608,591,554,691,197,861,725,725,"1,201",641,998,977,817,976,836,"2,628","1,414","1,952","2,214",862,"3,220","2,234","2,679","2,567","2,632","2,693","2,749"
Hospital insurance trust fund,Total intragovernmental receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,22,444,410,946,859,"1,144",826,748,"1,054","1,309","1,549",57,"1,890","1,863","2,018","2,182","2,490","3,285","8,279","5,435","6,020","5,049","6,693","8,098","9,679","10,894","11,828","13,084","13,450","15,280","17,824","17,394","16,471","16,917","19,275","22,612","20,670","28,834","26,799","28,072","28,199","29,928","31,248","32,189","34,840","33,820","34,022","36,247","29,267","34,298","35,365","39,297","41,620","44,501","47,874","51,395"
Hospital insurance trust fund,Other (mainly proprietary) receipts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital insurance trust fund,Premium income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,6,8,2,11,12,17,17,21,25,26,35,38,40,40,42,42,113,367,484,622,852,998,"1,107","1,279","1,320","1,401","1,392","1,440","1,525","1,598","1,799","2,303","2,652","2,836","3,000","2,928","3,503","3,495","3,634","3,657","3,537","3,721","3,760","3,884","4,074","4,254","4,474"
Hospital insurance trust fund,Other 4,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,1,*,..........,*,*,1,*,*,*,3,*,*,*,9,*,..........,*,*,*,1,1,1,1,89,104,71,148,454,331,231,354,"1,902","2,388","4,889","5,666","5,852","5,250","5,754","7,720","11,968","9,254","9,935","10,086","10,237","10,347","10,438","10,528"
Hospital insurance trust fund,Total other (mainly proprietary) receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,4,7,8,2,11,12,17,17,21,25,29,35,38,40,49,42,42,113,367,485,623,853,999,"1,108","1,368","1,424","1,472","1,540","1,894","1,856","1,829","2,153","4,205","5,040","7,725","8,666","8,780","8,753","9,249","11,354","15,625","12,791","13,656","13,846","14,121","14,421","14,692","15,002"
Hospital insurance trust fund,Total cash income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,915,"3,089","3,902","5,344","5,614","6,018","6,031","8,352","11,610","12,568","13,544","3,516","15,374","18,543","21,910","25,415","32,851","37,611","43,949","45,732","50,928","56,424","62,735","67,999","75,117","79,563","85,038","92,677","95,297","106,195","114,847","123,499","128,549","138,204","153,015","159,681","172,215","179,739","175,814","180,814","198,472","212,397","223,881","234,835","234,283","222,641","231,761","248,744","254,162","271,196","282,879","298,391","314,615","332,034","349,120","364,885"
Hospital insurance trust fund,Cash outgo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital insurance trust fund,Benefit payments 5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,508","3,736","4,654","4,804","5,442","6,108","6,648","7,806","10,353","12,267","3,314","14,906","17,415","19,898","23,793","28,909","34,344","38,102","41,461","47,710","48,867","49,804","51,862","57,317","65,722","68,486","80,584","90,535","101,350","113,402","123,908","136,010","135,299","129,286","127,698","139,082","145,308","150,967","163,765","182,523","183,571","204,536","223,305","239,724","249,943","260,629","261,237","272,632","270,527","276,238","291,110","298,226","307,308","331,893","351,150"
Hospital insurance trust fund,Administrative expenses,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,64,89,79,104,149,149,166,193,258,256,308,88,295,442,443,486,333,510,519,632,813,667,827,707,805,774,937,"1,187",866,"1,235","1,300","1,228","1,203","1,204","1,296","1,262","1,442","1,484","1,543","1,886","1,769","1,970","1,709","2,093","2,267","2,218","2,575","2,143","2,596","2,777","2,694","2,910","2,986","3,028","3,097","3,111"
Hospital insurance trust fund,Interest on normalized transfers,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,27,187,13,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,Military service credit adjustment,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,100",..........,..........,..........,..........,"2,366",..........,..........,..........,..........,"1,177",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,Payments to the Patient-Centered Outcomes Research Trust Fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,25,49,55,51,59,64,69,..........
Hospital insurance trust fund,Other 5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,1,1,1,1,2,4,1,7,4,1,8,7,10,-97,15,131,151,172,160,116,190,218,200,203,185,181,181,671,795,918,"1,070","1,200","1,221","1,310","1,364","1,411","1,395","1,326","1,444","1,386","1,473","1,624","1,825","1,937","1,796","2,387","2,276",..........,..........,..........,..........
Hospital insurance trust fund,Total cash outgo,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,64,"2,597","3,815","4,758","4,953","5,592","6,276","6,842","8,065","10,612","12,579","3,404","15,207","17,862","20,343","24,288","29,248","34,864","38,551","42,295","48,667","49,685","50,803","52,730","58,238","66,687","70,742","81,971","91,604","102,770","114,883","127,683","137,884","137,298","131,500","130,030","142,901","148,013","153,820","167,015","185,703","186,936","207,571","226,842","243,377","253,634","264,828","265,205","277,190","275,149","281,374","296,347","301,271","310,400","335,059","354,261"
Hospital insurance trust fund,Surplus or deficit (-),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,851,492,87,586,661,426,-244,"1,510","3,545","1,956",966,112,167,681,"1,567","1,127","3,603","2,747","5,398","3,437","2,261","6,739","11,932","15,270","16,880","12,876","14,296","10,706","3,693","3,425",-36,"-4,184","-9,335",906,"21,515","29,651","29,314","31,726","21,994","13,799","12,769","25,461","16,310","7,993","-9,094","-30,993","-33,067","-16,461","-23,028","-3,953","1,505","2,044","13,344","21,634","14,061","10,624"
Hospital insurance trust fund,Lending (-) or repayment of loans to OASI fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-12,437",..........,"1,824","10,613",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,Adjustment to balances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,..........,..........,-2,..........,..........,..........,-13,11,..........,7,"-8,484",-27,..........,22,..........,100,5,-1,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,Transfer of CHI balances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,805",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Hospital insurance trust fund,"Fund balance, end of year",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,851,"1,343","1,431","2,017","2,677","3,103","2,859","4,369","7,914","9,870","10,836","10,948","11,115","11,796","13,363","14,490","18,093","20,840","13,800","17,237","21,322","38,674","50,606","65,876","82,755","95,631","109,927","120,633","126,131","129,555","129,520","125,337","116,002","116,908","138,421","168,072","197,385","229,111","251,091","264,901","277,670","303,138","310,964","318,930","309,836","278,865","245,698","229,337","206,314","202,362","203,869","205,915","219,261","240,897","254,960","265,586"
Hospital insurance trust fund,Invested balance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,786,"1,298","1,370","2,001","2,653","3,030","2,884","4,222","7,864","9,761","10,942","11,009","10,974","11,757","13,164","14,656","18,191","20,800","13,514","16,982","21,176","38,340","50,779","66,078","82,689","96,249","109,327","120,647","126,078","128,716","129,864","125,805","116,621","118,236","153,767","168,859","197,137","228,906","251,297","264,901","277,268","302,193","319,377","318,741","309,702","278,221","245,939","228,292","206,010","202,207","203,805","201,218","219,261","240,897","254,960","265,586"
Hospital insurance trust fund,Uninvested balance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,65,45,60,15,24,73,-25,146,49,109,-106,-62,141,39,199,-166,-99,40,286,255,146,334,-173,-202,66,-617,600,-13,52,840,-344,-467,-619,"-1,328","-15,346",-787,247,204,-206,..........,402,945,"-8,413",189,134,644,-241,"1,045",304,155,64,"4,697",..........,..........,..........,..........
Supplementary medical insurance trust fund,Cash income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary medical insurance trust fund,Individual income taxes 6,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,527,-527,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Supplementary medical insurance trust fund,Excise Taxes,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,876","2,808","3,216","3,209","2,940","3,000","3,980","4,098","2,826","2,800"
Supplementary medical insurance trust fund,Intragovernmental receipts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary medical insurance trust fund,Interest (902) 6,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,14,21,23,12,17,29,45,76,106,104,4,137,229,363,416,384,473,680,807,"1,154","1,228","1,019",828,"1,025","1,427","1,627","1,716","1,888","2,116","1,935","1,388","2,192","2,606","2,926","3,160","3,187","2,916","2,452","1,727","1,364","1,459","1,986","3,151","2,981","2,998","3,231","2,947","2,518","2,460","2,522","2,473","2,600","2,826","3,102","3,442"
Supplementary medical insurance trust fund,Federal contributions and other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,623,634,984,928,"1,245","1,365","1,430","2,029","2,330","2,939",878,"5,053","6,386","6,841","6,932","8,747","13,323","14,238","16,811","17,898","18,076","20,299","25,418","30,712","33,210","34,730","38,684","44,227","38,355","36,988","61,702","59,471","59,919","62,185","65,561","69,863","78,334","80,910","94,736","115,201","162,602","179,183","180,435","194,268","213,710","225,179","210,509","227,208","244,352","257,614","290,354","299,197","308,668","337,512","365,990"
Supplementary medical insurance trust fund,Total intragovernmental receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,637,655,"1,008",940,"1,263","1,394","1,476","2,105","2,435","3,043",882,"5,190","6,614","7,204","7,347","9,132","13,796","14,918","17,618","19,052","19,304","21,318","26,246","31,737","34,637","36,358","40,400","46,114","40,471","38,923","63,090","61,663","62,525","65,111","68,721","73,050","81,250","83,362","96,463","116,565","164,061","181,169","183,586","197,249","216,708","228,410","213,456","229,726","246,812","260,136","292,827","301,797","311,494","340,614","369,432"
Supplementary medical insurance trust fund,Premium income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary medical insurance trust fund,From aged participants,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,647,698,903,936,"1,253","1,340","1,427","1,579","1,750","1,769",492,"1,987","2,186","2,373","2,637","2,987","3,460","3,834","4,463","5,042","5,200","5,897","7,963","10,603","10,499","10,741","11,564","13,255","15,212","17,126","16,858","16,984","17,153","17,722","17,961","19,447","21,173","23,115","25,873","30,394","35,606","38,552","42,496","42,834","45,832","47,277","48,297","51,679","54,415","57,042","61,377","65,770","70,964","79,149","86,735"
Supplementary medical insurance trust fund,For prescription drugs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,809,"1,628","1,822","2,150","2,363","2,631","2,955","3,224","3,564","4,064","4,960","5,946","6,878","7,910","8,527"
Supplementary medical insurance trust fund,From States and other participants,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,125,151,168,46,206,245,263,291,332,371,393,444,482,500,582,793,945,995,"1,066","1,184","1,428","1,683","2,117","2,073","2,158","2,274","2,438","2,554","2,861","3,254","3,720","4,468","5,546","9,671","14,234","13,990","16,628","13,609","16,483","18,124","19,003","19,486","19,476","20,568","27,239","34,896","38,717","43,266"
Supplementary medical insurance trust fund,Total premium income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,647,698,903,936,"1,253","1,340","1,427","1,704","1,901","1,937",539,"2,193","2,431","2,636","2,928","3,319","3,831","4,227","4,907","5,524","5,699","6,480","8,756","11,548","11,494","11,807","12,748","14,683","16,895","19,243","18,931","19,142","19,427","20,160","20,515","22,308","24,427","26,835","30,341","35,940","46,086","54,414","58,308","61,612","61,804","66,391","69,376","73,906","77,465","80,582","86,905","98,955","112,738","125,776","138,528"
Supplementary medical insurance trust fund,Other 4,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,..........,*,..........,*,*,*,*,*,*,1,*,−*,*,*,*,..........,3,1,1,1,2,3,4,1,3,7,4,4,3,-1,1,994,"1,114","3,428","3,765","3,965","4,064","4,639","4,990","5,252","5,036","4,404","4,504","4,554","4,604","4,654","4,704"
Supplementary medical insurance trust fund,Total cash income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,284","1,353","1,911","1,876","2,516","2,734","2,902","3,809","4,336","4,980","1,421","7,383","9,045","9,840","10,275","12,451","17,627","19,147","22,526","24,576","25,004","27,797","35,002","43,812","45,607","48,166","53,149","60,799","57,367","58,169","82,025","80,806","81,955","85,278","89,240","95,362","105,680","110,196","126,805","153,499","211,261","239,011","245,659","262,826","282,576","301,316","290,630","312,100","332,522","348,062","387,236","409,286","432,934","473,870","515,464"
Supplementary medical insurance trust fund,Cash outgo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary medical insurance trust fund,Benefit payments 5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,664,"1,390","1,645","1,979","2,035","2,255","2,391","2,874","3,765","4,671","1,269","5,865","6,852","8,259","10,144","12,345","14,806","17,487","19,475","21,808","25,166","29,932","33,677","36,854","41,450","45,456","48,595","52,398","57,997","63,482","67,167","71,115","74,808","78,972","87,169","97,471","107,013","121,740","131,763","150,903","191,606","230,055","230,997","257,584","268,889","297,333","288,074","310,634","327,293","349,017","392,949","401,651","408,207","456,758","495,263"
Supplementary medical insurance trust fund,Administrative expenses 6,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,134,143,195,217,248,289,246,409,404,528,132,475,494,544,594,889,746,823,899,923,"1,051",900,"1,265","1,450","1,524","1,507","1,658","1,845","1,718","1,722","1,770","1,420","1,431","1,510","1,780","1,926","1,717","2,245","2,648","2,745","3,208","3,067","3,027","2,926","3,061","3,127","3,528","3,252","3,552","3,414","4,346","4,002","4,080","4,100","4,162"
Supplementary medical insurance trust fund,Payments to the Patient-Centered Outcomes Research Trust Fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,27,58,62,73,75,81,89,..........
Supplementary medical insurance trust fund,Other 5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,1,*,2,4,1,8,7,7,6,..........,..........,..........,5,4,13,47,58,32,11,10,9,9,18,33,36,43,55,95,70,79,79,68,63,61,58,56,52,80,98,109,154,112,..........,..........,..........,..........
Supplementary medical insurance trust fund,Total cash outgo,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,798,"1,532","1,840","2,196","2,283","2,544","2,637","3,283","4,170","5,200","1,401","6,342","7,350","8,805","10,746","13,240","15,559","18,317","20,374","22,730","26,217","30,837","34,947","38,316","43,022","47,021","50,285","54,254","59,724","65,213","68,946","72,553","76,272","80,518","88,992","99,452","108,825","124,055","134,490","153,727","194,882","233,185","234,085","260,568","272,006","300,512","291,682","314,011","331,012","352,647","397,480","405,728","412,368","460,947","499,425"
Supplementary medical insurance trust fund,Surplus or deficit (-),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,486,-179,71,-321,233,191,265,526,166,-220,20,"1,041","1,696","1,035",-471,-789,"2,068",830,"2,151","1,846","-1,214","-3,039",55,"5,495","2,585","1,145","2,863","6,545","-2,357","-7,044","13,079","8,253","5,683","4,760",248,"-4,090","-3,145","-13,859","-7,685",-228,"16,379","5,826","11,574","2,258","10,570",804,"-1,052","-1,911","1,510","-4,585","-10,244","3,558","20,566","12,923","16,039"
Supplementary medical insurance trust fund,Adjustment to balances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-2,..........,"8,484",1,..........,..........,-1,..........,1,..........,..........,..........,..........,..........,..........,..........
Supplementary medical insurance trust fund,Transfer of CHI balances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-1,805",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
