Group,Program,Total_ 1940,Direct_ 1940,Grants_ 1940,Total_1941,Direct_1941,Grants_1941,Total_ 1942,Direct_ 1942,Grants_ 1942,Total_ 1943,Direct_ 1943,Grants_ 1943,Total_ 1944,Direct_ 1944,Grants_ 1944,Total_1945,Direct_1945,Grants_1945,Total_1946,Direct_1946,Grants_1946,Total_1947,Direct_1947,Grants_1947,Total_1948,Direct_1948,Grants_1948,Total_1949,Direct_1949,Grants_1949,Total_1950,Direct_1950,Grants_1950,Total_1951,Direct_1951,Grants_1951,Total_1952,Direct_1952,Grants_1952,Total_1953,Direct_1953,Grants_1953,Total_1954,Direct_1954,Grants_1954,Total_1955,Direct_1955,Grants_1955,Total_1956,Direct_1956,Grants_1956,Total_1957,Direct_1957,Grants_1957,Total_1958,Direct_1958,Grants_1958,Total_1959,Direct_1959,Grants_1959,Total_1960,Direct_1960,Grants_1960,Total_1961,Direct_1961,Grants_1961,Total_1962,Direct_1962,Grants_1962,Total_1963,Direct_1963,Grants_1963,Total_1964,Direct_1964,Grants_1964,Total_1965,Direct_1965,Grants_1965,Total_1966,Direct_1966,Grants_1966,Total_1967,Direct_1967,Grants_1967,Total_1968,Direct_1968,Grants_1968,Total_1969,Direct_1969,Grants_1969,Total_1970,Direct_1970,Grants_1970,Total_1971,Direct_1971,Grants_1971,Total_1972,Direct_1972,Grants_1972,Total_1973,Direct_1973,Grants_1973,Total_1974,Direct_1974,Grants_1974,Total_1975,Direct_1975,Grants_1975,Total_1976,Direct_1976,Grants_1976,Total_TQ,Direct_TQ,Grants_TQ,Total_1977,Direct_1977,Grants_1977,Total_1978,Direct_1978,Grants_1978,Total_1979,Direct_1979,Grants_1979,Total_1980,Direct_1980,Grants_1980,Total_1981,Direct_1981,Grants_1981,Total_1982,Direct_1982,Grants_1982,Total_1983,Direct_1983,Grants_1983,Total_1984,Direct_1984,Grants_1984,Total_1985,Direct_1985,Grants_1985,Total_1986,Direct_1986,Grants_1986,Total_1987,Direct_1987,Grants_1987,Total_1988,Direct_1988,Grants_1988,Total_1989,Direct_1989,Grants_1989,Total_v,Direct_1990,Grants_1990,Total_1991,Direct_1991,Grants_1991,Total_1992,Direct_1992,Grants_1992,Total_1993,Direct_1993,Grants_1993,Total_1994,Direct_1994,Grants_1994,Total_1995,Direct_1995,Grants_1995,Total_1996,Direct_1996,Grants_1996,Total_1997,Direct_1997,Grants_1997,Total_1998,Direct_1998,Grants_1998,Total_1999,Direct_1999,Grants_1999,Total_2000,Direct_2000,Grants_2000,Total_2001,Direct_2001,Grants_2001,Total_2002,Direct_2002,Grants_2002,Total_2003,Direct_2003,Grants_2003,Total_2004,Direct_2004,Grants_2004,Total_2005,Direct_2005,Grants_2005,Total_2006,Direct_2006,Grants_2006,Total_2007,Direct_2007,Grants_2007,Total_2008,Direct_2008,Grants_2008,Total_2009,Direct_2009,Grants_2009,Total_2010,Direct_2010,Grants_2010,Total_2011,Direct_2011,Grants_2011,Total_2012,Direct_2012,Grants_2012,Total_2013,Direct_2013,Grants_2013,Total_2014,Direct_2014,Grants_2014,Total_2015_estimate,Direct_2015_estimate,Grants_2015_estimate,Total_2016_estimate,Direct_2016_estimate,Grants_2016_estimate,Total_2017_estimate,Direct_2017_estimate,Grants_2017_estimate,Total_2018_estimate,Direct_2018_estimate,Grants_2018_estimate,Total_2019_estimate,Direct_2019_estimate,Grants_2019_estimate,Total_2020_estimate,Direct_2020_estimate,Grants_2020_estimate
Medical care,Other,1,1,..........,1,1,..........,1,1,..........,2,2,..........,2,2,..........,2,2,..........,3,3,..........,2,2,..........,2,2,..........,2,2,..........,5,5,..........,4,4,..........,3,3,..........,3,3,..........,6,6,..........,4,4,..........,4,4,..........,5,5,..........,8,8,..........,5,5,..........,4,4,..........,5,5,..........,24,24,..........,27,27,..........,34,34,..........,37,37,..........,40,40,..........,47,47,..........,51,51,..........,52,52,..........,58,58,..........,96,96,..........,133,133,..........,175,175,..........,204,204,..........,296,296,..........,406,406,..........,114,114,..........,504,504,..........,581,581,..........,637,637,..........,737,737,..........,914,914,..........,"1,039","1,039",..........,"1,305","1,305",..........,"1,498","1,498",..........,"1,540","1,540",..........,937,937,..........,"1,626","1,626",..........,"2,181","2,155",27,"2,526","2,523",3,"2,861","2,861",..........,"3,308","3,308",..........,"3,937","3,937",..........,"4,723","4,723",..........,"5,080","5,080",..........,"4,473","4,473",..........,"4,176","4,176",..........,"4,463","4,463",..........,"4,591","4,591",..........,"4,780","4,780",..........,"5,443","5,443",..........,"6,344","6,344",..........,"6,353","6,353",..........,"6,953","6,953",..........,"7,624","7,624",..........,"8,180","8,180",..........,"8,670","8,670",..........,"8,923","8,923",..........,"9,059","9,059",..........,"9,774","9,774",..........,"14,000","13,996",4,"13,143","13,100",43,"11,864","11,716",148,"12,018","11,747",271,"12,286","11,946",340,"13,148","12,818",330,"13,794","13,378",416,"14,455","14,026",429,"15,295","14,774",521,"16,081","15,461",620,"17,440","16,522",918
Medical care,"Total, Medical care",97,78,18,104,82,21,114,90,24,124,100,24,184,114,70,232,149,83,334,274,61,584,536,47,616,581,35,701,653,48,904,805,100,946,790,156,"1,008",832,176,972,812,161,872,736,136,886,765,122,948,836,112,996,861,135,"1,104",926,178,"1,218",999,218,"1,250","1,043",207,"1,366","1,114",252,"1,584","1,225",359,"1,734","1,294",440,"1,929","1,404",526,"2,084","1,459",625,"2,714","1,551","1,162","6,502","4,853","1,648","9,232","6,826","2,406","11,155","8,166","2,989","12,520","8,969","3,551","14,198","10,030","4,169","16,954","11,319","5,635","18,099","12,358","5,741","21,267","14,313","6,954","27,140","18,730","8,410","32,438","21,989","10,449","8,513","5,888","2,624","38,237","26,651","11,586","43,205","30,815","12,390","49,419","35,202","14,217","58,029","42,380","15,648","68,840","50,153","18,687","77,968","59,269","18,700","86,433","66,448","19,985","93,865","72,213","21,652","105,987","81,703","24,284","112,601","85,947","26,654","121,995","92,716","29,279","132,286","99,893","32,393","145,864","109,381","36,483","167,385","123,769","43,616","187,740","132,213","55,527","220,868","149,750","71,118","244,692","165,300","79,391","269,090","183,262","85,827","294,287","201,088","93,199","312,227","215,128","97,099","331,755","233,230","98,525","341,691","236,340","105,351","348,496","235,914","112,582","368,581","245,059","123,522","407,392","269,957","137,435","444,400","288,162","156,238","486,250","316,003","170,247","529,797","343,449","186,348","575,436","381,626","193,810","618,599","425,412","193,187","686,868","483,269","203,599","723,186","508,239","214,947","823,070","557,872","265,198","876,827","589,532","287,295","925,008","634,618","290,390","889,697","623,508","266,189","935,804","654,263","281,541","1,006,181","688,666","317,515","1,090,732","739,672","351,060","1,194,716","822,029","372,687","1,238,206","850,784","387,422","1,296,279","889,407","406,872","1,406,061","976,581","429,480","1,486,931","1,046,211","440,720"
Assistance to students,Veterans education benefits,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,342","1,342",..........,"3,566","3,566",..........,"3,174","3,174",..........,"3,207","3,207",..........,"2,739","2,739",..........,"1,953","1,953",..........,"1,326","1,326",..........,668,668,..........,546,546,..........,678,678,..........,781,781,..........,787,787,..........,711,711,..........,585,585,..........,392,392,..........,246,246,..........,151,151,..........,95,95,..........,71,71,..........,52,52,..........,51,51,..........,300,300,..........,470,470,..........,691,691,..........,"1,002","1,002",..........,"1,644","1,644",..........,"1,942","1,942",..........,"2,781","2,781",..........,"3,233","3,233",..........,"4,561","4,561",..........,"5,498","5,498",..........,777,777,..........,"3,686","3,686",..........,"3,368","3,368",..........,"2,796","2,796",..........,"2,421","2,421",..........,"2,368","2,368",..........,"2,078","2,078",..........,"1,820","1,820",..........,"1,532","1,532",..........,"1,314","1,314",..........,"1,135","1,135",..........,"1,065","1,065",..........,"1,035","1,035",..........,"1,008","1,008",..........,791,791,..........,811,811,..........,"1,003","1,003",..........,"1,102","1,102",..........,"1,369","1,369",..........,"1,387","1,387",..........,"1,388","1,388",..........,"1,490","1,490",..........,"1,458","1,458",..........,"1,593","1,593",..........,"1,636","1,636",..........,"1,763","1,763",..........,"2,241","2,241",..........,"2,574","2,574",..........,"2,978","2,978",..........,"3,254","3,254",..........,"3,354","3,354",..........,"3,456","3,456",..........,"3,634","3,634",..........,"4,328","4,328",..........,"8,773","8,773",..........,"11,112","11,112",..........,"10,734","10,734",..........,"13,220","13,220",..........,"13,729","13,729",..........,"14,702","14,702",..........,"16,323","16,323",..........,"16,388","16,388",..........,"16,592","16,592",..........,"17,972","17,972",..........,"18,858","18,858",..........
Assistance to students,Student assistance--Department of Education and other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,45,45,..........,226,226,..........,460,460,..........,570,570,..........,503,503,..........,904,904,..........,"1,067","1,067",..........,"1,199","1,199",..........,"1,054","1,054",..........,"1,604","1,582",22,"2,384","2,349",35,595,590,6,"2,699","2,637",62,"3,059","3,004",56,"3,767","3,706",62,"5,089","5,011",78,"6,166","6,087",78,"5,758","5,701",57,"6,601","6,550",51,"7,036","6,966",70,"7,800","7,724",76,"8,036","7,954",82,"7,469","7,403",66,"8,139","8,071",68,"9,906","9,838",68,"10,442","10,369",73,"11,272","11,211",60,"10,500","10,427",73,"13,463","13,373",89,"7,232","7,151",81,"13,386","13,304",82,"11,409","11,330",79,"11,483","11,440",43,"11,343","11,292",51,"10,015","9,992",23,"9,245","9,204",41,"8,343","8,283",60,"15,200","15,121",79,"20,718","20,636",82,"23,335","23,253",82,"28,868","28,782",86,"48,367","48,266",101,"27,534","27,441",93,"27,475","27,374",101,"26,273","26,177",96,"46,771","46,673",98,"47,479","47,397",82,"49,119","49,083",36,"44,863","44,835",28,"56,337","56,307",30,"69,636","69,604",32,"38,014","37,990",24,"40,568","40,583",-15,"43,735","43,523",212,"45,064","43,999","1,065","46,562","44,536","2,026"
Assistance to students,"Total, Assistance to students",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,342","1,342",..........,"3,566","3,566",..........,"3,174","3,174",..........,"3,207","3,207",..........,"2,739","2,739",..........,"1,953","1,953",..........,"1,326","1,326",..........,668,668,..........,546,546,..........,678,678,..........,781,781,..........,787,787,..........,711,711,..........,585,585,..........,392,392,..........,246,246,..........,151,151,..........,95,95,..........,71,71,..........,52,52,..........,96,96,..........,526,526,..........,930,930,..........,"1,261","1,261",..........,"1,505","1,505",..........,"2,548","2,548",..........,"3,009","3,009",..........,"3,980","3,980",..........,"4,287","4,287",..........,"6,165","6,143",22,"7,881","7,847",35,"1,372","1,366",6,"6,385","6,323",62,"6,428","6,372",56,"6,563","6,501",62,"7,510","7,432",78,"8,534","8,455",78,"7,835","7,779",57,"8,421","8,371",51,"8,568","8,498",70,"9,115","9,039",76,"9,171","9,089",82,"8,534","8,468",66,"9,175","9,106",68,"10,914","10,846",68,"11,234","11,160",73,"12,083","12,023",60,"11,504","11,430",73,"14,564","14,475",89,"8,601","8,521",81,"14,773","14,691",82,"12,797","12,718",79,"12,973","12,930",43,"12,801","12,750",51,"11,608","11,585",23,"10,881","10,840",41,"10,106","10,046",60,"17,441","17,362",79,"23,292","23,210",82,"26,313","26,231",82,"32,122","32,036",86,"51,721","51,620",101,"30,990","30,897",93,"31,109","31,008",101,"30,601","30,505",96,"55,544","55,446",98,"58,591","58,509",82,"59,853","59,817",36,"58,083","58,055",28,"70,066","70,036",30,"84,338","84,306",32,"54,337","54,313",24,"56,956","56,971",-15,"60,327","60,115",212,"63,036","61,971","1,065","65,420","63,394","2,026"
Housing assistance,Housing assistance,19,19,..........,324,319,5,395,385,10,677,667,10,535,525,10,112,103,9,77,70,7,413,407,6,98,95,3,42,39,3,-37,-44,7,124,117,7,148,136,12,29,3,26,-401,-446,44,-116,-183,67,31,-51,82,60,-27,87,51,-44,95,97,-14,111,134,7,127,150,10,140,165,11,154,179,9,170,150,-33,183,231,24,208,238,13,226,271,20,251,294,9,284,363,16,346,476,34,442,735,173,562,"1,090",340,751,"1,596",541,"1,055","1,797",675,"1,122","2,025",692,"1,333","2,462",868,"1,594",654,241,413,"2,925","1,101","1,825","3,634","1,211","2,423","4,299","1,515","2,784","5,579","2,126","3,453","7,670","3,612","4,059","8,638","3,716","4,922","9,918","4,200","5,718","11,157","5,388","5,769","25,064","18,647","6,417","12,212","4,769","7,443","12,613","5,213","7,400","13,813","5,162","8,651","14,627","6,074","8,553","15,870","6,318","9,552","17,107","6,640","10,466","18,829","6,540","12,290","21,406","7,281","14,126","23,774","7,965","15,809","27,324","8,910","18,414","26,592","9,844","16,748","27,583","9,898","17,685","28,638","8,979","19,659","27,039","4,640","22,399","28,622","8,657","19,965","29,844","8,722","21,122","32,789","9,150","23,639","35,152","9,197","25,955","36,436","9,421","27,015","37,528","7,349","30,179","37,942","10,006","27,936","38,958","10,095","28,863","39,594","10,427","29,167","49,891","19,941","29,950","57,607","20,116","37,491","54,369","18,533","35,836","46,884","17,020","29,864","45,604","17,675","27,929","46,600","18,141","28,459","48,351","18,811","29,540","50,328","19,348","30,980","50,691","19,010","31,681","50,003","17,660","32,343","49,941","17,216","32,725","49,293","16,390","32,903"
Food and nutrition assistance,SNAP (formerly Food stamps)(including Puerto Rico),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,14,..........,14,20,1,19,30,1,29,34,3,32,69,4,65,114,8,106,185,14,171,248,13,234,577,18,559,"1,568","1,548",20,"1,909","1,882",27,"2,208","2,177",31,"2,845","2,797",48,"4,599","4,463",136,"5,632","5,365",267,"1,325","1,260",65,"5,399","5,128",271,"5,499","5,200",299,"6,822","6,498",324,"9,117","8,705",412,"11,253","10,764",489,"11,014","10,262",752,"12,653","11,210","1,444","12,375","10,829","1,547","12,526","10,815","1,710","12,443","10,651","1,792","12,407","10,448","1,959","13,145","11,152","1,993","13,725","11,650","2,075","15,923","13,793","2,130","19,649","17,278","2,371","22,800","20,193","2,607","24,602","21,991","2,611","25,441","22,752","2,688","25,554","22,814","2,740","25,422","22,392","3,030","22,857","19,735","3,122","20,141","16,468","3,673","19,005","15,643","3,362","18,295","14,787","3,508","19,096","15,432","3,664","22,069","18,120","3,949","25,325","21,163","4,162","28,621","24,417","4,204","32,614","28,229","4,385","34,620","30,012","4,608","34,885","30,283","4,602","39,319","34,384","4,935","55,604","49,980","5,624","70,492","64,753","5,739","77,637","71,664","5,973","80,401","73,569","6,832","82,548","76,476","6,072","76,237","70,446","5,791","78,756","73,003","5,753","78,688","72,215","6,473","78,683","72,187","6,496","78,599","72,104","6,495","78,350","71,872","6,478","76,044","69,767","6,277"
Food and nutrition assistance,Child nutrition and special milk programs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,76,..........,76,68,..........,68,75,..........,75,83,..........,83,83,..........,83,84,..........,84,83,..........,83,84,..........,84,83,..........,83,82,..........,82,98,..........,98,165,..........,165,216,..........,216,232,*,232,239,*,239,261,3,258,263,1,262,278,2,276,265,2,263,294,2,291,304,2,302,321,3,318,339,3,336,383,4,379,611,8,603,716,8,707,693,8,685,802,8,793,"1,575",10,"1,565","1,890",12,"1,878",393,3,390,"2,792",17,"2,775","2,665",139,"2,526","3,014",152,"2,862","3,536",148,"3,388","3,543",183,"3,359","3,043",167,"2,875","3,293",178,"3,115","3,552",192,"3,361","3,681",201,"3,480","3,835",157,"3,678","4,060",138,"3,922","4,305",146,"4,158","4,574",119,"4,455","4,996",125,"4,871","5,557",139,"5,418","6,146",154,"5,993","6,612",23,"6,589","7,044",106,"6,938","7,499",112,"7,387","7,875",118,"7,757","8,265",124,"8,141","8,564",128,"8,436","8,878",138,"8,740","9,203",143,"9,060","9,560",144,"9,416","10,254",154,"10,100","10,826",162,"10,664","11,206",171,"11,035","11,899",173,"11,726","12,437",174,"12,263","13,045",174,"12,871","13,932",171,"13,761","15,252",169,"15,083","16,430",171,"16,259","17,284",172,"17,112","18,309",22,"18,287","19,325",21,"19,304","19,490",22,"19,468","20,588",22,"20,566","21,544",25,"21,519","22,598",174,"22,424","23,208",192,"23,016","23,724",197,"23,527","24,348",199,"24,149"
Food and nutrition assistance,Supplemental feeding programs (WIC and CSFP),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,143,1,141,41,1,41,245,3,242,371,..........,371,542,..........,542,717,1,716,930,2,928,930,1,928,"1,126",3,"1,123","1,367",2,"1,365","1,495",*,"1,495","1,578",*,"1,577","1,670",*,"1,669","1,804",3,"1,801","1,942",2,"1,940","2,121",3,"2,119","2,280",5,"2,275","2,545",3,"2,542","2,846",4,"2,842","3,160",5,"3,155","3,404",3,"3,401","3,678",2,"3,676","3,866",3,"3,863","3,902",1,"3,901","3,942",..........,"3,942","3,950",..........,"3,950","4,077",-8,"4,085","4,330",..........,"4,330","4,547",-1,"4,548","4,858",-2,"4,860","4,985",..........,"4,985","5,056",..........,"5,056","5,309",..........,"5,309","6,160",..........,"6,160","6,480",..........,"6,480","6,469",..........,"6,469","6,787",..........,"6,787","6,837",..........,"6,837","6,557",2,"6,555","6,266",1,"6,265","6,527",1,"6,526","6,618",1,"6,617","6,706",1,"6,705","6,837",1,"6,836","6,920",1,"6,919","6,990",1,"6,989"
Food and nutrition assistance,Commodity donations and other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,593,13,580,740,12,728,787,44,743,469,18,451,294,10,284,64,2,62,91,5,86,325,4,321,338,4,334,562,5,557,394,5,389,506,6,500,803,5,798,726,9,717,805,9,796,718,9,710,772,10,762,794,9,785,"1,022",9,"1,013",999,11,987,"1,070",13,"1,057","1,196",13,"1,183","1,143",125,"1,018","1,103",67,"1,035","1,029",16,"1,013",851,15,836,968,15,953,876,15,861,"1,212",16,"1,196",921,19,902,"1,203",17,"1,186","1,370",-2,"1,372","1,693",25,"1,668","1,195",24,"1,171","1,195",24,"1,171","1,674",45,"1,629","1,080",45,"1,035","1,124",50,"1,074","1,601",19,"1,582","1,569",42,"1,527","1,342",40,"1,302","1,186",46,"1,140","1,137",51,"1,086",823,51,772,"1,393",62,"1,331","1,280",61,"1,219","1,585",61,"1,524","1,758",70,"1,688","1,799",72,"1,727","1,836",74,"1,762"
Food and nutrition assistance,"Total, Food and nutrition assistance",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,76,..........,76,68,..........,68,75,..........,75,83,..........,83,83,..........,83,84,..........,84,83,..........,83,84,..........,84,83,..........,83,82,..........,82,98,..........,98,165,..........,165,216,..........,216,232,*,232,239,*,239,275,3,272,284,2,281,308,3,305,299,5,295,363,6,357,418,10,408,505,16,489,587,16,570,960,22,938,"2,179","1,556",623,"3,218","1,904","1,314","3,641","2,197","1,444","4,433","2,850","1,583","6,643","4,491","2,152","7,959","5,389","2,570","1,824","1,266",558,"8,527","5,153","3,375","8,859","5,343","3,516","10,716","6,654","4,061","13,932","8,858","5,074","16,119","10,954","5,165","15,493","10,436","5,056","17,876","11,396","6,480","18,021","11,032","6,989","18,506","11,025","7,481","18,574","10,817","7,756","18,909","10,596","8,313","20,047","11,310","8,737","21,263","11,780","9,484","24,039","13,932","10,107","28,556","17,435","11,121","32,686","20,363","12,323","35,204","22,143","13,061","36,747","22,930","13,816","37,486","22,945","14,541","37,826","22,527","15,299","35,956","19,877","16,079","33,483","16,612","16,871","33,037","15,797","17,240","32,369","14,949","17,420","33,936","15,585","18,351","38,023","18,272","19,751","42,391","21,349","21,042","45,880","24,610","21,270","50,693","28,426","22,267","53,787","30,231","23,556","54,319","30,502","23,817","60,535","34,605","25,930","78,937","50,168","28,769","94,960","64,966","29,994","103,050","71,876","31,174","106,733","73,637","33,096","109,567","76,550","33,017","102,816","70,520","32,296","107,264","73,088","34,176","108,130","72,302","35,828","109,572","72,423","37,149","110,402","72,367","38,035","110,793","72,142","38,651","109,218","70,041","39,177"
Public assistance and related programs,Supplemental security income program,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,954","1,907",47,"4,320","4,209",110,"4,573","4,507",67,"1,165","1,159",5,"4,772","4,732",39,"5,280","5,241",39,"4,865","4,824",41,"5,716","5,677",39,"6,467","6,422",45,"6,864","6,844",20,"7,894","7,881",13,"7,633","7,625",8,"8,654","8,654",..........,"9,323","9,323",..........,"9,933","9,933",..........,"11,370","11,370",..........,"11,503","11,503",..........,"11,493","11,493",..........,"14,668","14,668",..........,"17,239","17,239",..........,"20,343","20,343",..........,"23,700","23,700",..........,"23,685","23,685",..........,"23,088","23,088",..........,"25,512","25,512",..........,"26,257","26,257",..........,"26,845","26,845",..........,"29,660","29,660",..........,"26,027","26,027",..........,"29,530","29,530",..........,"30,594","30,594",..........,"31,384","31,384",..........,"35,436","35,436",..........,"34,466","34,466",..........,"32,930","32,930",..........,"38,166","38,166",..........,"41,525","41,525",..........,"44,018","44,018",..........,"49,719","49,719",..........,"44,188","44,188",..........,"50,308","50,308",..........,"51,499","51,499",..........,"52,846","52,846",..........,"58,425","58,425",..........,"56,735","56,735",..........,"53,618","53,618",..........,"59,469","59,469",..........,"61,069","61,069",..........
Public assistance and related programs,Family support payments to States and TANF,279,..........,279,330,..........,330,376,..........,376,395,..........,395,430,..........,430,401,..........,401,421,..........,421,644,..........,644,732,..........,732,921,..........,921,"1,123",..........,"1,123","1,186",..........,"1,186","1,178",..........,"1,178","1,330",..........,"1,330","1,438",..........,"1,438","1,427",..........,"1,427","1,455",..........,"1,455","1,556",..........,"1,556","1,795",..........,"1,795","1,966",..........,"1,966","2,059",*,"2,059","2,144",*,"2,144","2,329",..........,"2,329","2,572",..........,"2,572","2,734",..........,"2,734","2,787",..........,"2,787","2,758",..........,"2,758","2,720",..........,"2,720","3,166",..........,"3,166","3,618",..........,"3,618","4,142",..........,"4,142","5,486",..........,"5,486","6,559",..........,"6,559","5,922",..........,"5,922","5,423",..........,"5,423","5,121",..........,"5,121","5,849",..........,"5,849","1,606",..........,"1,606","6,351",..........,"6,351","6,639",23,"6,616","6,610",27,"6,584","7,308",36,"7,273","8,175",42,"8,134","7,990",42,"7,947","8,391",50,"8,341","8,854",56,"8,799","9,224",55,"9,169","9,877",..........,"9,877","10,540",..........,"10,540","10,764",..........,"10,764","11,166",..........,"11,166","12,246",..........,"12,246","13,520",..........,"13,520","15,103",..........,"15,103","15,628",..........,"15,628","16,508",..........,"16,508","17,133",..........,"17,133","16,670",..........,"16,670","15,069",-2,"15,071","15,455",..........,"15,455","16,917",..........,"16,917","18,370",..........,"18,370","21,864",-425,"22,289","22,747",..........,"22,747","23,140",..........,"23,140","21,540",..........,"21,540","21,340",1,"21,339","20,898",..........,"20,898","21,114",..........,"21,114","21,815",..........,"21,815","22,213",..........,"22,213","21,936",..........,"21,936","21,298",..........,"21,298","20,093",..........,"20,093","21,173",..........,"21,173","20,378",..........,"20,378","20,909",..........,"20,909","21,196",..........,"21,196","21,595",..........,"21,595","21,755",..........,"21,755","21,657",..........,"21,657","21,701",..........,"21,701"
Public assistance and related programs,Low income home energy assistance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,110,..........,110,193,..........,193,186,..........,186,"1,577",398,"1,180","1,780",126,"1,653","1,687",2,"1,685","1,993",3,"1,991","2,026",2,"2,024","2,141",2,"2,139","2,046",..........,"2,046","1,829",..........,"1,829","1,585",..........,"1,585","1,393",..........,"1,393","1,314",..........,"1,314","1,742",..........,"1,742","1,142",*,"1,142","1,068",*,"1,067","2,126",*,"2,125","1,419",..........,"1,419","1,067",..........,"1,067","1,221",..........,"1,221","1,132",..........,"1,132","1,176",..........,"1,176","1,495",..........,"1,495","2,161",..........,"2,161","1,773",..........,"1,773","2,030",..........,"2,030","1,891",..........,"1,891","2,095",..........,"2,095","2,637",..........,"2,637","2,498",..........,"2,498","2,663",..........,"2,663","4,533",..........,"4,533","4,598",..........,"4,598","4,419",..........,"4,419","3,817",..........,"3,817","3,532",..........,"3,532","3,537",..........,"3,537","2,955",..........,"2,955","4,225",825,"3,400","4,313","1,049","3,264","4,346",919,"3,427","4,338",800,"3,538","4,302",726,"3,576"
